bairro,faixa,n,adr,pickup,revpan,ic_lo,ic_hi,ocup_fev
Centro,0-1 (compacto),69,440.0,0.14954645746506498,65.80044128462859,54.30644831244176,79.96460946908574,0.4296066252587991
Centro,2,47,603.75,0.1508732813080639,91.08974358974358,64.64527586363225,117.10393149504522,0.48176291793313075
Centro,3,27,699.0,0.12605042016806722,88.10924369747899,53.39862903350817,128.1531525417594,0.5185185185185186
Centro,4+,2,725.0,0.3793103448275862,275.0,,,0.7678571428571428
Meia Praia,0-1 (compacto),17,490.0,0.17108167770419427,83.8300220750552,57.82396015614484,101.00759668508283,0.5336134453781513
Meia Praia,2,90,450.0,0.14775160599571735,66.4882226980728,52.03542995517302,82.84029499896747,0.5666666666666667
Meia Praia,3,230,656.0,0.13801208865010073,90.53593015446607,77.44362728962537,105.18232175354846,0.47624223602484467
Meia Praia,4+,30,899.0,0.11397557666214382,102.4640434192673,61.65930812422533,174.69735891819843,0.4511904761904762
Morretes,0-1 (compacto),1,480.0,0.32786885245901637,157.37704918032784,,,0.8571428571428571
Morretes,2,36,430.0,0.10762331838565023,46.2780269058296,30.509033450627697,61.347518497769165,0.4613095238095237
Morretes,3,9,650.0,0.17,110.50000000000001,32.38803530461498,286.32468446601933,0.6984126984126983
Morretes,4+,2,795.0,0.0,0.0,,,0.7142857142857144
