faixa_quartos,noites_ofertadas,noites_vendidas,n_airbnb,pickup,adr,ocup_fev,revpan_pickup,revpan_ocup,receita_fev_obs
4+,1723,194,37,0.11259431224608242,946.0,0.47104247104247104,106.51421938479398,445.6061776061776,12476.972972972973
3,13820,1900,270,0.13748191027496381,650.0,0.48558201058201056,89.36324167872648,315.6283068783069,8837.592592592593
0-1 (compacto),5046,785,87,0.1555687673404677,471.0,0.4548440065681445,73.27288941736029,214.23152709359607,5998.48275862069
2,9512,1350,184,0.1419259882253995,457.0,0.5172748447204969,64.86017661900758,236.39460403726707,6619.048913043478
