modelo,variavel,coef_padron,p
C) RevPAN (preco x velocidade) — efeito liquido,number_of_guests,-5.445277899054408,0.6064340510496441
C) RevPAN (preco x velocidade) — efeito liquido,am_maq_lavar,-4.923916263288378,0.515464212997239
C) RevPAN (preco x velocidade) — efeito liquido,tem_rating,4.910773326011157,0.15306657773776094
C) RevPAN (preco x velocidade) — efeito liquido,bairro_Morretes,-4.69292977484543,0.5353804181916649
C) RevPAN (preco x velocidade) — efeito liquido,cleaning_fee,-4.50816225858806,0.4360319749152365
C) RevPAN (preco x velocidade) — efeito liquido,can_instant_book,-4.4006286882904915,0.5910934392641112
C) RevPAN (preco x velocidade) — efeito liquido,is_guest_favorite,3.8780529633426246,0.5676017766687022
C) RevPAN (preco x velocidade) — efeito liquido,star_rating_f,-2.893269120906039,0.6375408723066676
C) RevPAN (preco x velocidade) — efeito liquido,am_estacionamento,2.1731964731507287,0.555742350176792
C) RevPAN (preco x velocidade) — efeito liquido,log_reviews,-1.241668924840118,0.8856883284243042
C) RevPAN (preco x velocidade) — efeito liquido,picture_count,0.8491362009201877,0.9283509856776088
C) RevPAN (preco x velocidade) — efeito liquido,number_of_bathrooms,0.4931670343425218,0.9536428735207216
C) RevPAN (preco x velocidade) — efeito liquido,host_multi,-0.13922413229362066,0.99411528215066
