bairro,noites_ofertadas,noites_vendidas,n_airbnb,pickup,adr,ocup_fev,revpan_pickup,revpan_ocup,receita_fev_obs,amostra_ok
Sertao do Trombudo,33,4,1,0.12121212121212122,1000.0,0.5714285714285714,121.21212121212122,571.4285714285714,16000.0,False
Meia Praia,18495,2588,367,0.13992971073263044,599.0,0.4990268586998832,83.81789672884564,298.91708836123007,8369.678474114442,True
Tabuleiro dos Oliveiras,557,91,10,0.16337522441651706,509.0,0.42857142857142855,83.15798922800718,218.14285714285714,6108.0,False
Centro,8137,1203,145,0.14784318544918273,498.0,0.4677339901477833,73.625906353693,232.93152709359606,6522.08275862069,True
Canto da Praia,156,21,3,0.1346153846153846,518.0,0.4523809523809524,69.73076923076923,234.33333333333334,6561.333333333334,False
Morretes,2530,304,48,0.12015810276679842,464.5,0.5245535714285714,55.81343873517787,243.65513392857142,6822.34375,True
Casa Branca,145,18,3,0.12413793103448276,240.0,0.30952380952380953,29.79310344827586,74.28571428571429,2080.0,False
Ilhota,48,0,1,0.0,946.0,0.0,0.0,0.0,0.0,False
