bairro,faixa_quartos,noites_ofertadas,noites_vendidas,n_airbnb,pickup,adr,ocup_fev,revpan_pickup,revpan_ocup,receita_fev_obs,amostra_ok,n_vivareal,preco_mediano,preco_p25,area_mediana,preco_m2,condominio,iptu_anual,indice_demanda,investimento,custo_fixo_ano,receita_bruta_conservador_40,receita_liq_conservador_40,roi_conservador_40,payback_conservador_40,receita_bruta_base_55,receita_liq_base_55,roi_base_55,payback_base_55,receita_bruta_otimista_70,receita_liq_otimista_70,roi_otimista_70,payback_otimista_70
Meia Praia,0-1 (compacto),906,155,17,0.1710816777041942,490.0,0.5336134453781513,83.8300220750552,261.4705882352941,7321.176470588234,False,56,877500.0,754500.0,40.0,21250.0,727.5,1000.0,1.0366587481817136,981375.0,9730.0,74162.5668449198,45891.925133689845,0.04676288384530872,21.384480976579475,101973.52941176473,66750.14705882355,0.06801696299459795,14.702214800143638,129784.4919786096,87608.3689839572,0.0892710421438871,11.201840775961813
Tabuleiro dos Oliveiras,2,375,78,7,0.208,400.0,0.5051020408163265,83.2,202.0408163265306,5657.142857142857,False,108,780469.5,698410.0,69.0,11687.261904761905,350.0,850.0,0.9812692200167739,922992.975,5050.0,57306.12244897959,37929.5918367347,0.04109412841060323,24.33437667805547,78795.91836734695,54046.938775510214,0.058556175658336096,17.077618009666576,100285.71428571428,70164.28571428571,0.07601822290606894,13.154740557874376
Meia Praia,2,4203,621,90,0.1477516059957173,450.0,0.5666666666666667,66.4882226980728,255.0,7140.0,True,241,1070000.0,906700.0,85.0,12826.08695652174,500.0,980.0,1.1008717310087175,1251000.0,6980.0,72327.27272727274,47265.45454545455,0.03778213792602282,26.46753346668718,99450.00000000003,67607.50000000003,0.05404276578737013,18.50386421624819,126572.7272727273,87949.54545454547,0.0703033936487174,14.224064417098644
Centro,0-1 (compacto),4079,610,69,0.1495464574650649,440.0,0.4296066252587991,65.80044128462859,189.02691511387164,5292.753623188406,False,16,890000.0,685500.0,43.5,18720.238095238095,550.0,1200.0,0.8346031574143545,999750.0,7800.0,53614.90683229813,32411.180124223596,0.03241928494545996,30.845837645165005,73720.49689440994,47490.372670807454,0.04750224823286567,21.051635179408706,93826.08695652173,62569.5652173913,0.06258521152027137,15.978215551386285
Tabuleiro dos Oliveiras,3,134,13,2,0.0970149253731343,585.0,0.1964285714285714,56.75373134328358,114.91071428571428,3217.5,False,14,830000.0,766250.0,70.0,11945.134575569358,350.0,1615.0,0.3816046966731898,976500.0,5815.0,32592.857142857138,18629.642857142855,0.019077975276131955,52.4164637770067,44815.17857142857,27796.383928571428,0.028465318923268233,35.13046885916237,57037.49999999999,36963.12499999999,0.0378526625704045,26.41822086200775
Morretes,2,2007,216,36,0.1076233183856502,430.0,0.4613095238095238,46.2780269058296,198.36309523809524,5554.166666666667,True,997,790000.0,690000.0,69.0,11617.64705882353,350.0,730.0,0.8961928482476428,933000.0,4930.0,56262.98701298701,37267.240259740254,0.03994345151097562,25.03539284093216,77361.60714285714,53091.205357142855,0.05690375708161078,17.573532070401086,98460.22727272725,68915.17045454544,0.07386406265224592,13.538383404498452
Casa Branca,2,100,8,2,0.08,227.5,0.4642857142857143,18.2,105.625,2957.5,False,19,660000.0,611000.0,70.0,10000.0,350.0,280.0,0.9019747375911761,798000.0,4480.0,29959.09090909091,17989.318181818184,0.022543005240373663,44.359657877781004,41193.75000000001,26415.312500000007,0.03310189536340853,30.209750499828452,52428.409090909096,34841.30681818182,0.043660785486443386,22.90384812958756
Canto da Praia,3,20,0,1,0.0,307.625,0.8928571428571429,0.0,274.6651785714286,7690.625000000001,False,66,1769930.0,1507500.0,116.0,15050.505050505051,700.0,600.0,1.734566803059954,2032426.5,9000.0,77905.03246753248,49428.77435064936,0.02432007964403601,41.11828639694562,107119.41964285716,71339.56473214287,0.03510068616608909,28.489471552442296,136333.80681818182,93250.35511363637,0.045881292688142165,21.795375444128364
Ilhota,4+,48,0,1,0.0,946.0,0.0,0.0,0.0,0.0,False,19,2845125.0,2663385.0,154.0,18474.83766233766,950.0,2000.0,0.0,3218381.25,13400.0,0.0,-13400.0,-0.004163583789210803,-240.1777052238806,0.0,-13400.0,-0.004163583789210803,-240.1777052238806,0.0,-13400.0,-0.004163583789210803,-240.1777052238806
Morretes,4+,62,0,2,0.0,795.0,0.7142857142857143,0.0,567.8571428571429,15900.0,False,56,6050664.0,4384000.0,186.5,29036.608916676407,1200.0,2300.0,1.3876534424479632,6632947.2,16700.0,161064.9350649351,104098.70129870131,0.01569418512764602,63.7178669594291,221464.2857142858,149398.21428571435,0.022523654987893518,44.3977676153138,281863.63636363635,194697.72727272726,0.029353124848141,34.067923097575495
Tabuleiro dos Oliveiras,4+,48,0,1,0.0,1700.0,0.3571428571428571,0.0,607.1428571428571,17000.0,False,1,4085460.0,4085460.0,226.0,18077.256637168142,350.0,900.0,0.6938267212239815,4628733.0,5100.0,172207.79220779223,124055.84415584417,0.026801252989931405,37.31168838918375,236785.71428571432,172489.28571428574,0.03726490288255679,26.834901546679916,301363.63636363635,220922.72727272726,0.04772855277518216,20.951819023517068
