date,p_mercado
2025-01-20,0.8189655172413793
2025-01-21,0.6106870229007634
2025-01-22,0.5373134328358209
2025-01-23,0.5255474452554745
2025-01-24,0.5231788079470199
2025-01-25,0.5116279069767442
2025-01-26,0.4712041884816754
2025-01-27,0.39285714285714285
2025-01-28,0.35390946502057613
2025-01-29,0.32234432234432236
2025-01-30,0.3475177304964539
2025-01-31,0.32323232323232326
2025-02-01,0.32167832167832167
2025-02-02,0.3129496402877698
2025-02-03,0.3258426966292135
2025-02-04,0.337037037037037
2025-02-05,0.3381818181818182
2025-02-06,0.34686346863468637
2025-02-07,0.33455882352941174
2025-02-08,0.33568904593639576
2025-02-09,0.28903654485049834
2025-02-10,0.2508038585209003
2025-02-11,0.2087227414330218
2025-02-12,0.17352941176470588
2025-02-13,0.2
2025-02-14,0.19839142091152814
2025-02-15,0.20967741935483872
2025-02-16,0.19786096256684493
2025-02-17,0.19072164948453607
2025-02-18,0.16834170854271358
2025-02-19,0.16331658291457288
2025-02-20,0.1691542288557214
2025-02-21,0.16707616707616707
2025-02-22,0.16707021791767554
2025-02-23,0.14418604651162792
2025-02-24,0.1145374449339207
2025-02-25,0.10736842105263159
2025-02-26,0.09591836734693877
2025-02-27,0.11042944785276074
2025-02-28,0.12831858407079647
2025-03-01,0.15841584158415842
2025-03-02,0.16707616707616707
2025-03-03,0.16707021791767554
2025-03-04,0.1275626423690205
2025-03-05,0.08898305084745763
2025-03-06,0.0709812108559499
2025-03-07,0.08456659619450317
2025-03-08,0.06866952789699571
2025-03-09,0.07494646680942184
2025-03-10,0.0759493670886076
2025-03-11,0.07692307692307693
2025-03-12,0.06837606837606838
2025-03-13,0.07510729613733906
2025-03-14,0.08225108225108226
2025-03-15,0.08855291576673865
2025-03-16,0.08333333333333333
2025-03-17,0.07708333333333334
2025-03-18,0.07231404958677685
2025-03-19,0.06776180698151951
2025-03-20,0.0736196319018405
2025-03-21,0.07520325203252033
2025-03-22,0.072
2025-03-23,0.062135922330097085
2025-03-24,0.058712121212121215
2025-03-25,0.05420560747663551
2025-03-26,0.055350553505535055
2025-03-27,0.05545286506469501
2025-03-28,0.05321100917431193
2025-03-29,0.04927007299270073
2025-03-30,0.0374331550802139
2025-03-31,0.03880070546737213
2025-04-01,0.03461538461538462
2025-04-02,0.032692307692307694
2025-04-03,0.03682170542635659
2025-04-04,0.038461538461538464
2025-04-05,0.03667953667953668
2025-04-06,0.020964360587002098
